activity_daily_movement,activity_high,activity_inactive,activity_score,activity_score_meet_daily_targets,activity_score_move_every_hour,activity_steps,activity_total
8891,1,507,96,100,100,11177,322
4591,0,475,97,100,100,5768,269
7624,0,583,94,100,100,9797,426
8482,4,593,94,100,100,9261,351
12237,0,578,95,100,100,15615,405
12492,0,435,97,100,100,15597,409
10325,2,635,91,100,95,13006,394
8865,1,664,88,100,100,11167,381
7824,1,526,87,100,100,9648,352
7146,0,611,70,43,100,9050,362
9940,0,522,83,60,100,12921,410
4901,1,628,86,78,100,6289,276
9555,2,626,90,95,100,10946,410
9751,1,541,95,100,100,11594,461
11228,1,365,98,100,100,14113,414
2559,0,287,92,100,95,3309,102
4782,0,452,97,95,100,6852,288
2506,0,390,93,78,100,3893,184
3384,0,480,78,60,100,4942,232
4925,3,509,69,43,100,6803,336
5365,2,349,69,43,100,7448,251
4273,7,363,81,60,100,6731,304
6954,22,390,87,60,100,9330,289
4148,17,314,88,60,100,5773,183
6217,21,482,91,78,100,8217,276
5452,0,386,93,95,100,7890,344
7000,0,380,97,95,100,9701,355
5399,1,335,88,95,100,7714,242
4662,0,488,84,95,100,6962,210
5786,1,384,97,95,100,8333,223
5554,0,570,85,78,100,8151,314
5185,1,481,88,78,100,7482,304
4552,0,332,89,78,100,6305,203
6664,0,420,81,60,100,9351,326
8519,1,461,96,95,100,11733,308
4767,1,509,94,95,100,7397,268
6652,1,444,98,100,100,9622,325
6430,0,469,90,95,100,9480,453
6866,2,449,94,95,100,9519,360
3173,1,492,94,95,100,5055,264
5871,0,450,94,95,100,8273,332
2159,0,290,89,95,100,3558,193
10718,1,428,97,95,100,14996,400
7698,4,432,97,95,100,10600,347
10589,1,270,98,95,100,13896,396
9218,2,322,95,95,100,12888,413
9776,3,342,92,95,100,13252,396
6637,1,342,90,100,100,9225,413
5988,2,441,97,100,100,8028,286
10913,1,397,98,100,100,14493,411
3762,0,361,98,100,100,5290,282
5791,1,411,99,100,100,8038,289
7295,0,379,99,100,100,10383,344
5803,0,429,98,100,100,8480,330
4765,4,407,97,95,100,6129,316
7894,2,506,91,78,100,10953,346
6508,0,472,81,60,100,8954,333
6227,1,271,80,60,100,8528,329
3477,0,418,75,60,100,4941,238
7138,1,465,91,78,100,9998,349
8372,3,373,92,78,100,11200,415
7666,0,295,92,78,100,10472,346
9237,0,329,89,78,100,12663,368
4354,1,422,86,78,100,6299,257
6935,1,419,97,95,100,10001,357
2749,0,452,96,95,100,4816,259
7903,1,434,96,95,100,10819,378
11491,1,443,97,95,100,15475,585
7726,1,453,95,95,100,10443,397
8328,1,537,92,95,100,11639,488
4667,1,394,91,95,100,6834,359
5522,1,388,96,95,100,7936,371
10119,1,510,96,100,100,13665,429
7103,0,636,87,78,78,10102,258
6881,0,586,83,60,78,9433,226
6389,0,539,81,43,95,8352,225
1159,0,647,79,43,100,2222,131
3755,0,506,86,60,95,4901,158
6001,0,538,81,43,95,7859,213
